continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Africa,Senegal,2024-08-04,89485.0,0.0,0.0,1971.0,0.0,0.0,5069.656,SEN,dakar,dakar,clear sky,294.5,294.5
Europe,Serbia,2024-08-04,2583470.0,0.0,0.0,18057.0,0.0,0.0,380413.34,SRB,belgrade,belgrade,clear sky,282.22,280.59
Africa,Sierra Leone,2024-08-04,7979.0,0.0,0.0,125.0,0.0,0.0,964.019,SLE,freetown,freetown,broken clouds,300.06,300.06
North America,Sint Maarten (Dutch part),2024-08-04,11051.0,0.0,0.0,92.0,0.0,0.0,262101.84,SXM,philipsburg,philipsburg,broken clouds,300.88,300.88
Europe,Slovakia,2024-08-04,1878002.0,61.0,8.714,21227.0,1.0,0.143,343127.25,SVK,bratislava,bratislava,clear sky,282.96,282.35
Europe,Slovenia,2024-08-04,1356582.0,148.0,21.143,10083.0,4.0,0.571,641340.2,SVN,ljubljana,ljubljana,clear sky,284.63,280.88
Oceania,Solomon Islands,2024-08-04,25954.0,0.0,0.0,199.0,0.0,0.0,33228.562,SLB,honiara,honiara,scattered clouds,299.0,299.0
Africa,Somalia,2024-08-04,27334.0,0.0,0.0,1361.0,0.0,0.0,1535.455,SOM,mogadishu,mogadishu,broken clouds,300.49,300.49
Africa,South Africa,2024-08-04,4072765.0,0.0,0.0,102595.0,0.0,0.0,65291.246,ZAF,pretoria,pretoria,scattered clouds,294.02,294.02
Asia,South Korea,2024-08-04,34571873.0,0.0,0.0,35934.0,0.0,0.0,667636.06,KOR,seoul,seoul,mist,274.91,272.93
Africa,South Sudan,2024-08-04,18823.0,0.0,0.0,147.0,0.0,0.0,1707.894,SSD,juba,juba,light rain,299.57,299.57
Europe,Spain,2024-08-04,13980340.0,,,121852.0,,,292302.16,ESP,madrid,madrid,broken clouds,289.83,288.27
Asia,Sri Lanka,2024-08-04,672798.0,1.0,0.143,16907.0,0.0,0.0,29463.502,LKA,colombo,colombo,overcast clouds,300.63,300.63
Africa,Sudan,2024-08-04,63993.0,0.0,0.0,5046.0,0.0,0.0,1295.842,SDN,khartoum,khartoum,scattered clouds,309.04,309.04
